Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2022,11,"3,975",118,"4,093",Santa Ana
2022,12,"3,695",117,"3,812",Santa Ana
2022,TOTAL,"45,978","1,403","47,381",Santa Ana
2023,1,"3,677",124,"3,801",Santa Ana
2023,2,"3,354",111,"3,465",Santa Ana
2023,3,"3,821",126,"3,947",Santa Ana
2023,4,"3,711",125,"3,836",Santa Ana
2023,5,"3,987",128,"4,115",Santa Ana
2023,6,"3,989",124,"4,113",Santa Ana
2023,7,"4,075",128,"4,203",Santa Ana
2023,TOTAL,"26,614",866,"27,480",Santa Ana
2002,10,"6,877",50,"6,927",Kansas City
2002,11,"6,354",46,"6,400",Kansas City
2002,12,"6,501",42,"6,543",Kansas City
2002,TOTAL,"75,999",587,"76,586",Kansas City
2003,1,"6,336",49,"6,385",Kansas City
2003,2,"5,677",41,"5,718",Kansas City
2003,3,"6,382",47,"6,429",Kansas City
2003,4,"6,036",38,"6,074",Kansas City
2003,5,"6,180",0,"6,180",Kansas City
2003,6,"5,969",53,"6,022",Kansas City
2003,7,"6,216",0,"6,216",Kansas City
2003,8,"6,041",0,"6,041",Kansas City
2003,9,"5,809",48,"5,857",Kansas City
2003,10,"6,205",58,"6,263",Kansas City
2003,11,"5,701",51,"5,752",Kansas City
2003,12,"5,956",49,"6,005",Kansas City
2003,TOTAL,"72,508",434,"72,942",Kansas City
2004,1,"5,821",45,"5,866",Kansas City
2004,2,"5,553",39,"5,592",Kansas City
2004,3,"6,128",27,"6,155",Kansas City
2004,4,"5,849",28,"5,877",Kansas City
2004,5,"6,115",32,"6,147",Kansas City
2004,6,"6,117",30,"6,147",Kansas City
2004,7,"6,349",35,"6,384",Kansas City
2004,8,"6,398",34,"6,432",Kansas City
2004,9,"6,000",34,"6,034",Kansas City
2004,10,"6,155",36,"6,191",Kansas City
2004,11,"5,611",41,"5,652",Kansas City
2004,12,"5,817",43,"5,860",Kansas City
2004,TOTAL,"71,913",424,"72,337",Kansas City
2005,1,"5,619",42,"5,661",Kansas City
2005,2,"5,254",39,"5,293",Kansas City
2005,3,"5,947",43,"5,990",Kansas City
2005,4,"5,715",43,"5,758",Kansas City
2005,5,"6,238",44,"6,282",Kansas City
2005,6,"6,122",42,"6,164",Kansas City
2005,7,"6,249",44,"6,293",Kansas City
2005,8,"6,380",40,"6,420",Kansas City
2005,9,"5,792",142,"5,934",Kansas City
2005,10,"6,059",36,"6,095",Kansas City
2005,11,"5,760",33,"5,793",Kansas City
2005,12,"5,993",45,"6,038",Kansas City
2005,TOTAL,"71,128",593,"71,721",Kansas City
2006,1,"6,037",57,"6,094",Kansas City
2006,2,"5,585",52,"5,637",Kansas City
2006,3,"6,222",57,"6,279",Kansas City
2006,4,"5,899",56,"5,955",Kansas City
2006,5,"6,235",57,"6,292",Kansas City
2006,6,"6,187",53,"6,240",Kansas City
2006,7,"6,323",57,"6,380",Kansas City
2006,8,"6,558",44,"6,602",Kansas City
2006,9,"6,019",39,"6,058",Kansas City
2006,10,"6,379",39,"6,418",Kansas City
2006,11,"6,205",43,"6,248",Kansas City
2006,12,"6,412",62,"6,474",Kansas City
2006,TOTAL,"74,061",616,"74,677",Kansas City
2007,1,"6,406",60,"6,466",Kansas City
2007,2,"5,915",57,"5,972",Kansas City
